MMSI,LAT,LON,SOG,COG,Heading,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,Num Entries,Status of System,Latitude,Longitude,Maximum Sustained Wind,Minimum Pressure,34-knot Wind Radii NE,34-knot Wind Radii SE,34-knot Wind Radii SW,34-knot Wind Radii NW,50-knot Wind Radii NE,50-knot Wind Radii SE,50-knot Wind Radii SW,50-knot Wind Radii NW,64-knot Wind Radii NE,64-knot Wind Radii SE,64-knot Wind Radii SW,64-knot Wind Radii NW,Speed mph,PathChange
356579000.0,32.38863,-79.28256,13.8,63.1,63.0,70.0,0.0,202.0,30.0,11.9,71.0,0,13,6,16.3,76.8,40.0,1004.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.291832130285744,1
255805942.0,32.42354,-79.41262,15.2,134.0,135.0,70.0,0.0,333.0,42.0,14.5,71.0,0,13,6,16.3,76.8,40.0,1004.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.291832130285744,0
636016081.0,40.47872,-74.02249,13.3,68.2,68.0,80.0,0.0,228.0,32.0,14.3,71.0,0,27,6,34.6,73.7,35.0,1003.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.432753586006127,1
316029000.0,42.87311,-79.25003,4.1,14.1,13.0,70.0,0.0,225.0,23.0,9.0,70.0,0,13,6,16.3,76.8,40.0,1004.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.291832130285744,1
371860000.0,39.93018,-69.40996,16.3,273.8,273.0,70.0,0.0,274.0,32.0,13.5,71.0,0,13,6,16.3,76.8,40.0,1004.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.291832130285744,1
538007497.0,38.28913,-69.78918,11.8,70.4,73.0,70.0,0.0,292.0,45.0,8.9,70.0,0,27,6,34.6,73.7,35.0,1003.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.432753586006127,1
232023089.0,32.16833,-79.91007,13.6,64.0,66.0,73.0,0.0,304.0,40.0,9.6,73.0,0,13,6,16.3,76.8,40.0,1004.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.291832130285744,1
566085000.0,32.36205,-79.61826,7.0,39.5,40.0,70.0,0.0,264.0,32.0,12.3,71.0,0,27,6,34.6,73.7,35.0,1003.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.432753586006127,1
477711300.0,38.8317,-75.06897,9.7,154.0,153.0,70.0,0.0,210.0,30.0,11.5,71.0,0,27,6,34.6,73.7,35.0,1003.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.432753586006127,1
255806038.0,39.83887,-67.62168,12.3,274.2,277.0,70.0,0.0,333.0,43.0,14.5,71.0,0,13,6,16.3,76.8,40.0,1004.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.291832130285744,1
371705000.0,25.82371,-79.40855,9.5,267.0,255.0,70.0,0.0,288.0,45.0,18.2,71.0,0,13,6,16.7,78.4,50.0,1002.0,60.0,0.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.256892986055785,1
